prefix,longueur_moyenne,entropie,profondeur_maximale,variance_longueur,balancedness,00_ngrams,11_ngrams,nombre,code
1,4.0,0.99,7,4.0,6,9,9,8,1
2,4.33,0.96,7,4.22,5,3,3,3,0
2,4.33,0.98,7,5.22,6,7,7,6,1
2,4.88,1.0,7,3.86,6,8,8,8,1
1,5.0,1.0,7,5.5,6,4,4,4,0
2,4.25,0.99,7,3.19,6,12,12,8,1
1,4.75,0.9,5,0.19,1,6,6,4,0
1,4.89,0.99,7,1.88,5,13,13,9,1
2,3.25,1.0,4,0.69,2,5,5,4,1
1,6.0,0.92,6,0.0,0,4,4,2,0
2,3.83,1.0,7,5.47,6,7,7,6,1
1,4.33,1.0,7,3.56,5,8,8,6,1
1,3.67,0.99,7,6.22,6,4,4,3,1
2,4.1,1.0,7,4.29,6,12,12,10,1
1,3.4,0.79,6,3.04,4,4,4,5,1
2,4.0,0.99,6,2.57,5,7,7,7,1
1,5.12,1.0,7,3.11,5,11,11,8,1
2,2.6,1.0,6,3.44,5,3,3,5,1
2,3.83,0.97,7,6.81,6,7,7,6,1
2,3.4,1.0,7,3.84,6,12,12,10,1
2,4.0,1.0,6,4.29,5,8,8,7,1
1,4.25,0.94,6,1.19,3,6,6,4,0
1,4.14,0.99,6,1.84,4,9,9,7,1
2,4.67,0.92,6,1.78,4,13,13,9,1
2,5.0,0.95,7,4.0,6,7,7,8,1
1,4.33,0.96,7,6.22,6,4,4,3,1
2,4.43,0.98,7,3.96,6,9,9,7,1
1,4.0,1.0,4,0.0,0,1,1,1,0
1,2.0,1.0,3,0.4,2,3,3,5,1
1,3.8,0.98,7,3.36,5,6,6,5,0
2,4.62,1.0,7,4.48,6,10,10,8,1
1,5.0,0.88,5,0.0,0,2,2,2,0
2,4.7,0.9,7,2.41,5,13,13,10,1
1,4.62,1.0,7,4.23,6,13,13,8,1
1,3.0,0.98,5,2.5,4,1,1,4,1
1,3.33,0.88,5,2.89,4,1,1,3,0
1,3.0,0.99,5,2.67,4,3,3,3,1
1,4.0,1.0,7,2.57,5,8,8,7,1
1,3.8,1.0,7,3.76,6,5,5,5,1
1,4.0,0.99,7,3.0,5,7,7,6,1
2,4.0,0.99,6,2.33,5,5,5,6,1
1,7.0,0.86,7,0.0,0,1,1,1,0
2,3.0,1.0,6,2.57,5,4,4,7,1
2,3.67,1.0,6,3.33,5,8,8,9,1
1,5.0,1.0,7,4.0,4,3,3,2,0
2,2.75,0.99,5,2.19,4,1,1,4,1
2,4.5,0.98,7,4.25,6,6,6,6,1
2,3.33,0.99,7,4.89,6,4,4,6,1
1,2.0,-0.0,2,0.0,0,1,1,1,0
2,4.29,0.99,7,4.49,6,9,9,7,1
1,5.0,-0.0,5,0.0,0,2,2,1,0
1,4.8,0.98,7,5.76,6,5,5,5,0
1,3.0,0.92,3,0.0,0,1,1,1,0
3,3.67,0.98,6,2.89,5,5,5,9,1
1,3.5,0.86,4,0.25,1,1,1,2,0
2,4.0,0.99,7,5.14,6,8,8,7,1
2,4.4,0.9,7,4.64,6,6,6,5,1
1,4.0,1.0,5,3.0,4,4,4,4,1
2,3.12,0.97,6,2.86,5,6,6,8,1
2,3.88,1.0,6,4.86,5,8,8,8,1
1,6.0,1.0,6,0.0,0,1,1,1,0
2,3.9,1.0,7,3.89,6,10,10,10,1
2,4.9,1.0,7,3.29,5,16,16,10,1
1,4.8,1.0,7,4.16,5,9,9,5,0
2,3.83,1.0,7,4.14,6,5,5,6,1
1,3.0,0.99,4,2.0,3,3,3,3,0
2,5.0,1.0,7,5.11,6,11,11,9,1
1,4.17,0.97,7,3.47,6,6,6,6,1
1,4.33,0.89,7,3.56,4,5,5,3,0
2,4.0,0.99,7,3.0,5,9,9,8,1
1,3.0,1.0,4,0.5,2,1,1,4,1
2,4.5,0.76,5,0.25,1,2,2,2,0
2,4.0,0.95,7,9.0,6,2,2,2,0
2,4.56,1.0,7,3.36,6,10,10,9,1
2,3.8,1.0,6,2.16,4,4,4,5,1
1,3.67,0.95,7,5.56,5,4,4,3,0
1,2.5,1.0,4,0.75,2,2,2,4,1
2,4.44,1.0,7,4.69,6,11,11,9,1
2,4.2,0.99,7,5.76,6,5,5,5,0
1,1.33,0.81,2,0.22,1,1,1,3,1
1,4.0,1.0,7,9.0,6,2,2,2,0
1,4.67,1.0,6,0.89,3,6,6,6,1
1,4.5,0.92,6,2.25,3,3,3,2,0
1,4.0,0.81,4,0.0,0,1,1,1,0
1,4.4,0.98,6,1.84,3,6,6,5,0
1,4.5,1.0,6,0.92,3,7,7,6,1
2,4.11,1.0,6,2.1,4,10,10,9,1
2,4.62,1.0,7,3.73,5,8,8,8,1
2,4.0,1.0,7,4.0,6,8,8,7,1
2,4.0,1.0,7,3.43,6,7,7,7,1
2,4.5,0.99,7,4.0,6,12,12,8,1
1,4.33,0.98,7,2.22,5,7,7,6,0
1,3.67,0.99,6,2.89,4,4,4,3,0
1,4.83,0.98,7,3.47,5,8,8,6,0
2,4.5,0.99,7,4.0,6,10,10,8,1
2,4.0,0.99,6,3.5,5,4,4,4,0
2,3.86,1.0,7,5.27,6,8,8,7,1
1,2.0,-0.0,2,0.0,0,1,1,1,0
2,3.62,1.0,7,4.98,6,8,8,8,1
1,2.67,0.95,6,5.56,5,2,2,3,1
1,6.0,0.96,7,2.0,3,5,5,3,0
1,4.5,0.99,5,0.25,1,4,4,2,0
1,5.0,0.99,7,3.67,5,8,8,6,1
1,4.71,1.0,7,2.49,5,13,13,7,1
1,4.0,1.0,5,3.0,4,5,5,4,0
1,3.0,0.92,5,4.0,4,2,2,2,0
2,3.75,0.97,7,7.69,6,3,3,4,1
1,4.17,1.0,7,4.47,6,8,8,6,1
2,3.86,1.0,7,4.12,6,5,5,7,1
1,7.0,0.99,7,0.0,0,1,1,1,0
2,4.2,0.96,7,4.96,6,11,11,10,1
2,4.5,0.98,7,4.25,6,13,13,8,1
2,3.88,0.96,7,4.61,6,8,8,8,1
2,3.0,0.97,7,5.2,6,4,4,5,1
1,4.0,0.99,5,1.5,3,5,5,4,1
2,4.25,0.98,7,3.69,5,12,12,8,1
1,5.0,0.97,6,1.0,2,2,2,2,0
2,3.56,0.97,7,3.58,6,12,12,9,1
2,4.33,0.99,7,4.0,6,10,10,9,1
2,4.12,0.98,7,6.11,6,8,8,8,1
1,4.25,1.0,6,2.19,4,9,9,8,1
2,2.5,1.0,4,0.92,3,4,4,6,1
2,3.5,0.92,6,2.25,4,6,6,6,1
1,3.5,0.86,6,6.25,5,2,2,2,0
2,4.0,0.99,7,4.0,6,11,11,9,1
1,4.33,0.96,7,6.22,6,4,4,3,0
1,2.67,0.81,4,1.56,3,2,2,3,0
1,3.6,0.96,6,1.84,4,4,4,5,1
1,5.0,0.99,7,3.11,6,12,12,9,1
1,4.0,0.98,6,2.33,4,7,7,6,1
1,3.25,1.0,6,2.69,4,2,2,4,0
1,4.0,1.0,4,0.0,0,0,0,1,0
2,4.38,1.0,7,4.48,6,9,9,8,1
2,3.75,1.0,6,3.69,5,6,6,8,1
2,4.25,0.96,7,1.69,4,9,9,8,1
1,5.0,0.84,7,8.0,6,3,3,3,1
1,3.0,0.92,3,0.0,0,0,0,1,0
1,1.0,1.0,1,0.0,0,0,0,2,0
1,2.67,0.95,5,2.89,4,3,3,3,1
1,4.67,1.0,7,3.22,4,9,9,6,0
2,3.5,0.75,6,3.25,5,4,4,4,1
2,4.0,0.99,6,2.8,5,3,3,5,1
2,3.33,0.97,6,4.22,5,5,5,6,1
2,3.67,0.85,6,2.89,4,4,4,3,1
1,2.67,0.81,5,2.89,4,2,2,3,1
1,5.4,0.98,7,1.84,4,8,8,5,0
2,3.62,1.0,6,2.48,5,11,11,8,1
1,6.0,0.99,7,0.67,2,6,6,3,0
2,4.17,0.9,7,6.47,6,10,10,6,1
2,3.9,0.98,6,4.09,5,10,10,10,1
2,4.14,0.98,7,3.84,6,10,10,7,1
2,4.62,0.94,7,3.23,5,10,10,8,1
1,4.25,0.94,7,4.69,6,5,5,4,1
1,4.71,0.97,7,4.49,6,10,10,7,1
2,4.44,0.97,7,3.58,6,10,10,9,1
1,5.5,0.99,7,2.25,3,3,3,2,0
2,3.75,1.0,7,5.69,6,4,4,4,0
2,5.44,1.0,7,3.36,6,16,16,9,1
1,6.0,0.99,7,0.67,2,5,5,3,0
1,4.5,0.99,5,0.75,2,5,5,4,0
1,4.5,0.92,5,0.75,2,7,7,4,0
1,6.0,0.92,6,0.0,0,2,2,1,0
1,1.33,1.0,2,0.22,1,0,0,3,0
2,3.67,1.0,6,4.22,5,5,5,6,1
2,4.0,0.81,7,4.8,6,6,6,5,1
1,4.0,0.99,6,4.5,5,5,5,4,0
1,5.5,0.99,7,2.25,3,3,3,2,0
1,4.0,0.91,7,2.29,5,8,8,7,1
1,4.75,0.95,6,4.69,5,5,5,4,1
1,3.33,0.99,6,2.89,5,6,6,6,1
1,5.0,1.0,7,4.33,6,10,10,6,1
1,3.75,0.97,6,3.69,5,4,4,4,0
1,2.0,0.81,3,1.0,2,1,1,2,0
2,4.8,0.99,7,3.16,5,14,14,10,1
1,4.25,0.91,7,3.19,5,10,10,8,1
1,3.75,0.92,5,2.69,4,5,5,4,1
1,3.5,0.86,4,0.25,1,3,3,2,0
1,3.5,0.99,4,0.25,1,3,3,2,0
1,2.8,0.94,5,2.16,4,4,4,5,1
2,4.22,0.99,7,3.95,6,9,9,9,1
2,4.56,1.0,7,3.8,5,13,13,9,1
2,3.0,0.98,5,2.0,4,3,3,4,1
1,4.25,1.0,6,2.19,4,4,4,4,0
2,4.6,1.0,7,6.64,6,6,6,5,1
1,3.0,0.92,3,0.0,0,1,1,1,0
1,5.0,0.72,5,0.0,0,2,2,1,0
2,3.5,0.99,7,4.45,6,8,8,10,1
1,5.0,1.0,7,8.0,6,3,3,3,0
1,4.89,0.99,7,3.43,5,15,15,9,1
1,4.5,0.92,5,0.25,1,3,3,2,0
1,6.0,0.92,6,0.0,0,1,1,1,0
1,1.5,0.92,2,0.25,1,0,0,2,0
2,4.5,1.0,7,3.05,5,13,13,10,1
1,1.0,-0.0,1,0.0,0,0,0,1,0
1,5.4,1.0,7,1.04,3,8,8,5,0
2,3.33,0.95,6,3.56,5,8,8,9,1
1,5.2,0.98,7,2.56,4,9,9,5,0
1,4.0,0.98,6,4.67,5,4,4,3,0
2,4.2,0.99,6,1.76,4,6,6,5,1
